zone_id,bucket_start,demand
161,2026-05-31T17:00:00-04:00,32
161,2026-05-31T17:15:00-04:00,35
161,2026-05-31T17:30:00-04:00,37
161,2026-05-31T17:45:00-04:00,40
161,2026-05-31T18:00:00-04:00,44
230,2026-05-31T17:00:00-04:00,29
230,2026-05-31T17:15:00-04:00,31
230,2026-05-31T17:30:00-04:00,35
230,2026-05-31T17:45:00-04:00,36
230,2026-05-31T18:00:00-04:00,39
132,2026-05-31T17:00:00-04:00,20
132,2026-05-31T17:15:00-04:00,22
132,2026-05-31T17:30:00-04:00,26
132,2026-05-31T17:45:00-04:00,29
132,2026-05-31T18:00:00-04:00,31
138,2026-05-31T17:00:00-04:00,18
138,2026-05-31T17:15:00-04:00,19
138,2026-05-31T17:30:00-04:00,20
138,2026-05-31T17:45:00-04:00,23
138,2026-05-31T18:00:00-04:00,24
48,2026-05-31T17:00:00-04:00,24
48,2026-05-31T17:15:00-04:00,23
48,2026-05-31T17:30:00-04:00,25
48,2026-05-31T17:45:00-04:00,27
48,2026-05-31T18:00:00-04:00,27
170,2026-05-31T17:00:00-04:00,18
170,2026-05-31T17:15:00-04:00,21
170,2026-05-31T17:30:00-04:00,22
170,2026-05-31T17:45:00-04:00,24
170,2026-05-31T18:00:00-04:00,25
79,2026-05-31T17:00:00-04:00,13
79,2026-05-31T17:15:00-04:00,16
79,2026-05-31T17:30:00-04:00,17
79,2026-05-31T17:45:00-04:00,19
79,2026-05-31T18:00:00-04:00,21
7,2026-05-31T17:00:00-04:00,12
7,2026-05-31T17:15:00-04:00,14
7,2026-05-31T17:30:00-04:00,15
7,2026-05-31T17:45:00-04:00,17
7,2026-05-31T18:00:00-04:00,18
